bairro_geoloc,Arts & Entertainment,Colleges & Universities,Events,Food,Outdoors & Recreation,Professional & Other Places,Residences,Shops & Services,Travel & Transport
Aberta dos Morros,0,1,0,3,0,1,1,0,0
Anchieta,0,0,0,6,0,0,3,1,0
Arquipélago,0,1,0,1,0,7,1,0,0
Auxiliadora,0,0,0,8,0,0,1,0,0
Azenha,0,2,0,3,0,0,0,2,0
Bela Vista,0,1,0,3,0,2,3,0,0
Belém Novo,0,2,0,9,0,2,4,0,0
Belém Velho,0,1,1,1,0,3,3,0,0
Boa Vista,0,1,0,8,0,0,4,0,0
Boa Vista do Sul,2,0,0,3,0,3,0,0,0
Bom Fim,1,1,0,6,0,0,2,0,0
Bom Jesus,1,1,0,1,0,0,1,2,0
Camaquã,0,2,0,5,0,0,2,1,0
Campo Novo,0,0,0,4,0,1,3,1,0
Cascata,0,1,0,1,0,2,1,1,0
Cavalhada,0,1,0,6,0,0,0,1,0
Centro Histórico,1,2,0,5,0,1,1,0,0
Chapéu do Sol,0,2,0,0,0,0,0,0,0
Chácara das Pedras,2,7,0,2,0,0,2,0,0
Cidade Baixa,1,4,0,4,0,0,1,0,0
Coronel Aparício Borges,0,0,0,1,0,1,0,0,0
Costa e Silva,1,1,0,3,0,0,0,2,0
Cristal,1,1,0,2,0,2,4,0,0
Cristo Redentor,1,1,0,5,1,1,2,0,0
Espírito Santo,0,2,0,0,0,1,0,0,0
Extrema,0,0,0,0,0,5,0,0,0
Farrapos,0,1,0,1,0,4,2,1,0
Farroupilha,0,1,0,5,0,0,1,0,0
Floresta,2,2,0,5,0,2,4,0,0
Glória,1,4,0,4,0,0,6,0,0
Guarujá,0,3,0,2,0,2,1,1,0
Higienópolis,0,2,0,2,0,0,4,1,0
Humaitá,0,0,0,8,0,1,2,0,0
Hípica,1,2,0,8,0,0,1,1,0
Independência,0,1,0,2,0,0,7,0,0
Ipanema,2,0,0,9,0,4,1,0,0
Jardim Botânico,0,2,0,7,0,0,4,3,0
Jardim Carvalho,0,3,0,1,0,1,4,0,0
Jardim Dona Leopoldina,1,0,0,6,0,2,1,0,0
Jardim Europa,0,1,0,0,0,0,1,0,0
Jardim Floresta,0,1,0,0,0,0,2,1,0
Jardim Isabel,0,1,0,1,0,2,2,0,0
Jardim Itu,2,1,0,3,0,1,2,0,1
Jardim Lindóia,0,3,0,3,0,1,1,1,0
Jardim Sabará,1,0,0,3,0,0,3,0,0
Jardim São Pedro,0,1,0,3,0,0,3,1,0
Jardim do Salso,2,0,0,1,0,0,3,2,0
Lageado,0,0,0,2,0,2,1,0,0
Lami,3,1,0,1,0,3,3,0,0
Lomba do Pinheiro,0,0,0,6,0,0,4,1,0
Medianeira,2,1,0,1,0,0,0,1,0
Menino Deus,0,5,0,4,0,1,2,3,0
Moinhos de Vento,0,1,0,5,0,0,4,0,0
Mont'Serrat,0,2,0,5,0,0,3,0,0
Morro Santana,0,0,0,4,0,2,2,1,0
Mário Quintana,2,0,0,2,0,1,2,0,0
Navegantes,1,2,0,4,0,0,1,0,0
Nonoai,0,0,0,5,0,1,4,0,0
Parque Santa Fé,0,1,0,2,0,2,0,0,0
Partenon,2,4,0,9,0,1,4,0,0
Passo D'Areia,0,5,0,5,0,0,1,1,0
Passo das Pedras,1,0,0,1,0,0,0,0,0
Pedra Redonda,0,1,0,2,0,1,4,1,0
Petrópolis,1,2,0,4,0,0,3,0,0
Pitinga,1,1,0,2,0,1,1,0,0
Ponta Grossa,0,1,0,1,0,1,3,1,0
Praia de Belas,3,0,0,8,0,0,1,2,0
Restinga,0,0,1,4,0,2,3,0,0
Rio Branco,0,2,0,6,0,0,2,1,0
Rubem Berta,0,0,0,1,0,0,0,0,0
Santa Cecília,1,1,0,7,0,0,0,0,0
Santa Maria Goretti,1,3,0,5,0,0,1,1,0
Santa Rosa de Lima,0,1,0,7,0,1,1,0,0
Santa Tereza,0,1,0,1,0,1,1,0,0
Santana,0,2,0,10,0,0,0,1,0
Santo Antônio,0,1,1,5,0,1,2,0,0
Sarandi,0,3,0,6,0,0,2,0,0
Serraria,1,1,1,0,0,0,2,0,0
São Caetano,1,0,0,0,0,0,0,0,0
São Geraldo,1,1,0,9,0,0,0,0,0
São João,0,2,0,1,0,0,7,0,0
São Sebastião,0,1,0,4,0,0,4,0,0
Sétimo Céu,0,0,0,0,0,0,1,0,0
Teresópolis,0,4,0,5,0,0,1,0,0
Tristeza,1,6,0,11,0,0,4,0,1
Três Figueiras,0,1,0,2,0,1,2,1,0
Vila Assunção,1,1,0,3,0,3,1,0,0
Vila Conceição,1,0,0,2,0,4,0,0,0
Vila Ipiranga,0,2,0,7,0,2,1,0,0
Vila Jardim,0,3,0,2,0,0,2,0,0
Vila João Pessoa,2,1,0,4,0,1,5,0,0
Vila Nova,1,2,0,3,0,1,4,1,0
Vila São José,0,0,0,0,0,1,1,0,0
